region_name,slug,ai92,ai95,ai98,dt
Белгородская область,belgorodskaya-oblast,66.52,71.91,94.56,76.70
Брянская область,bryanskaya-oblast,68.87,72.59,92.72,80.43
Владимирская область,vladimirskaya-oblast,74.46,79.39,100.16,85.33
Воронежская область,voronezhskaya-oblast,77.33,83.98,101.84,86.66
Ивановская область,ivanovskaya-oblast,66.93,70.23,87.02,79.73
Калужская область,kaluzhskaya-oblast,67.38,71.22,95.19,78.89
Костромская область,kostromskaya-oblast,73.13,78.73,97.66,90.24
Курская область,kurskaya-oblast,69.03,74.79,96.71,80.36
Липецкая область,lipetskaya-oblast,67.55,76.21,95.81,82.91
Московская область,moskovskaya-oblast,68.07,74.83,97.47,82.33
Орловская область,orlovskaya-oblast,64.64,70.11,96.33,76.25
Рязанская область,ryazanskaya-oblast,71.08,74.71,97.76,80.58
Смоленская область,smolenskaya-oblast,68.42,72.53,96.85,79.50
Тамбовская область,tambovskaya-oblast,76.88,80.35,94.55,89.70
Тверская область,tverskaya-oblast,65.16,70.15,97.01,79.67
Тульская область,tulskaya-oblast,68.73,78.56,95.91,84.64
Ярославская область,yaroslavskaya-oblast,62.67,67.36,92.90,77.64
г. Москва,moskva,65.93,72.93,97.69,80.30
Республика Карелия,respublika-kareliya,68.99,74.07,97.74,86.24
Республика Коми,respublika-komi,63.39,67.39,96.94,83.92
Архангельская область,arkhangelskaya-oblast,66.24,71.48,97.21,83.26
Вологодская область,vologodskaya-oblast,71.31,76.57,96.89,86.45
Калининградская область,kaliningradskaya-oblast,70.45,75.18,99.28,83.19
Ленинградская область,leningradskaya-oblast,67.21,72.84,98.83,82.17
Мурманская область,murmanskaya-oblast,71.58,76.04,97.90,88.16
Новгородская область,novgorodskaya-oblast,64.74,69.46,98.58,79.74
Псковская область,pskovskaya-oblast,64.60,69.32,97.14,80.07
г. Санкт-Петербург,sankt-peterburg,64.97,70.69,99.08,79.93
Республика Адыгея,respublika-adygeya,68.10,75.07,99.40,76.95
Республика Калмыкия,respublika-kalmykiya,80.52,89.42,98.78,95.86
Республика Крым,respublika-krym,81.08,88.82,110.80,88.08
Краснодарский край,krasnodarskiy-kray,69.80,76.51,98.44,79.13
Астраханская область,astrakhanskaya-oblast,67.02,72.59,96.35,78.38
Волгоградская область,volgogradskaya-oblast,64.90,72.34,94.08,77.15
Ростовская область,rostovskaya-oblast,69.49,76.27,99.77,79.32
г. Севастополь,sevastopol,97.95,129.68,239.79,138.73
Республика Дагестан,respublika-dagestan,89.43,97.08,104.88,94.94
Республика Ингушетия,respublika-ingushetiya,70.31,74.26,94.26,74.50
Кабардино-Балкарская Республика,kabardino-balkarskaya-respublika,81.24,87.11,101.30,89.09
Карачаево-Черкесская Республика,karachaevo-cherkesskaya-respublika,70.61,73.88,97.18,74.91
Республика Северная Осетия - Алания,respublika-severnaya-osetiya-alaniya,71.10,75.43,95.37,76.83
Чеченская Республика,chechenskaya-respublika,90.22,95.06,103.97,95.11
Ставропольский край,stavropolskiy-kray,68.60,75.56,98.15,79.70
Республика Башкортостан,respublika-bashkortostan,62.94,67.86,93.75,77.43
Республика Марий Эл,respublika-mariy-el,72.10,79.03,97.48,84.39
Республика Мордовия,respublika-mordoviya,67.01,72.47,94.43,80.32
Республика Татарстан,respublika-tatarstan,65.87,71.45,93.60,79.41
Удмуртская Республика,udmurtskaya-respublika,63.50,68.38,95.58,78.56
Чувашская Республика,chuvashskaya-respublika,71.55,77.18,96.47,81.83
Пермский край,permskiy-kray,70.38,75.35,95.98,84.47
Кировская область,kirovskaya-oblast,68.56,75.32,99.27,83.17
Нижегородская область,nizhegorodskaya-oblast,68.52,73.62,94.62,80.11
Оренбургская область,orenburgskaya-oblast,64.23,68.97,93.92,78.94
Пензенская область,penzenskaya-oblast,66.79,70.15,97.26,79.40
Самарская область,samarskaya-oblast,75.91,80.57,97.35,86.84
Саратовская область,saratovskaya-oblast,71.23,74.99,107.74,82.73
Ульяновская область,ulyanovskaya-oblast,64.78,69.28,95.23,77.79
Курганская область,kurganskaya-oblast,65.46,72.22,93.31,82.34
Свердловская область,sverdlovskaya-oblast,68.50,72.43,94.35,85.54
Тюменская область,tyumenskaya-oblast,75.36,80.05,94.33,90.17
Челябинская область,chelyabinskaya-oblast,64.37,68.66,92.66,79.73
Республика Алтай,respublika-altay,71.43,75.49,96.15,89.36
Республика Тыва,respublika-tyva,97.94,103.50,112.28,108.27
Республика Хакасия,respublika-khakasiya,68.23,72.65,90.87,85.66
Алтайский край,altayskiy-kray,64.69,69.06,93.94,82.56
Красноярский край,krasnoyarskiy-kray,71.08,75.53,94.97,88.61
Иркутская область,irkutskaya-oblast,69.31,73.08,99.34,91.86
Кемеровская область,kemerovskaya-oblast,63.97,69.82,92.09,83.30
Новосибирская область,novosibirskaya-oblast,66.19,70.52,91.70,85.41
Омская область,omskaya-oblast,61.14,66.41,84.38,78.92
Томская область,tomskaya-oblast,65.98,69.67,85.05,87.92
Республика Бурятия,respublika-buryatiya,66.46,69.83,93.61,85.32
Республика Саха (Якутия),respublika-sakha-yakutiya,78.43,81.78,88.88,96.51
Забайкальский край,zabaykalskiy-kray,78.78,84.68,97.62,96.51
Камчатский край,kamchatskiy-kray,85.41,86.63,97.53,103.29
Приморский край,primorskiy-kray,76.34,79.75,94.71,91.17
Хабаровский край,khabarovskiy-kray,71.34,74.03,86.66,88.09
Амурская область,amurskaya-oblast,73.98,77.87,97.16,91.06
Магаданская область,magadanskaya-oblast,79.91,81.81,,93.49
